minute_index,resp_mean,resp_std,resp_min,resp_max,emg_mean,emg_std,emg_min,emg_max,temp_mean,temp_std,temp_min,temp_max,stage,is_light_stage,is_deep_stage,is_sleep_stage,minutes_since_start,clock_minutes,dataset_id,proxy_stress,proxy_body_battery,proxy_motion,proxy_light_sleep_score
0,54.666666666666664,1161.7951005041962,-1489.0,1711.0,3.4253,0.14930229960274102,3.0020000000000002,3.696,36.44854545454545,0.4204197902097362,34.51927272727273,36.64327272727272,Sleep stage W,False,False,False,0,0,SC4031E0,0.0,100.0,581.0468525517008,0.15
1,112.8,1267.9014525322277,-1617.0,1861.0,3.543133333333333,0.09364070814673614,3.318,3.726,36.594145454545455,0.028398556592350757,36.532,36.724,Sleep stage W,False,False,False,1,1,SC4031E0,0.0,99.97515968772178,634.0443669742606,0.15
2,1019.9666666666667,499.8065281241887,463.0,1864.0,3.4943000000000004,0.11505756530247516,3.148,3.688,36.629218181818175,0.027265520259867674,36.561454545454545,36.73163636363636,Sleep stage W,False,False,False,2,2,SC4031E0,0.0,99.95031937544357,250.0183216273968,0.25822321754437005
3,381.6,51.208137374184304,296.0,499.0,3.570533333333333,0.09264474560863602,3.378,3.8240000000000003,36.66532727272727,0.041540146866046394,36.60618181818182,36.808,Sleep stage W,False,False,False,3,3,SC4031E0,0.0,99.92547906316537,25.696713432700786,0.34056724457957
4,263.43333333333334,33.73987090800574,142.0,325.0,3.524566666666667,0.10873582155338174,3.334,3.7760000000000002,36.79249090909091,0.025418487447769117,36.736,36.83418181818182,Sleep stage W,False,False,False,4,4,SC4031E0,0.0,99.90063875088715,16.978671275556252,0.3437674654805313
5,195.85,20.44327517791608,152.0,243.0,3.5051666666666668,0.0924635363565311,3.2920000000000003,3.732,36.74525454545455,0.07094138891477789,36.623636363636365,36.862545454545455,Sleep stage W,False,False,False,5,5,SC4031E0,0.0,99.87579843860894,10.314101125314572,0.3462138974094303
6,176.15,24.456645313697464,82.0,270.0,3.5195333333333334,0.0868549493248497,3.334,3.714,36.70229090909091,0.027774082692709076,36.635636363636365,36.82218181818182,Sleep stage W,False,False,False,6,6,SC4031E0,0.0,99.85095812633072,12.315177606173583,0.34547934179900364
7,160.86666666666667,20.10345465060394,119.0,220.0,3.4958000000000005,0.09713337908944235,3.2640000000000002,3.68,36.75529090909091,0.0317387007290325,36.67818181818182,36.82872727272727,Sleep stage W,False,False,False,7,7,SC4031E0,0.0,99.82611781405252,10.148860704391412,0.3462745539007836
8,161.23333333333332,17.95769720451063,118.0,223.0,3.5330333333333335,0.10293913519918241,3.274,3.7720000000000002,36.77227272727273,0.021481608508960907,36.72509090909091,36.82,Sleep stage W,False,False,False,8,8,SC4031E0,0.0,99.80127750177431,9.081787737454498,0.3466662552885595
9,144.13333333333333,14.31952823555612,109.0,176.0,3.5529333333333337,0.09994696371353932,3.274,3.738,36.836327272727274,0.023614227396574924,36.779636363636364,36.886545454545455,Sleep stage W,False,False,False,9,9,SC4031E0,0.0,99.7764371894961,7.2597110814915995,0.3473351036024883
10,126.18333333333334,15.454763738803068,96.0,154.0,3.504833333333333,0.09147334159317799,3.21,3.702,36.86912727272727,0.025242205244783274,36.81018181818182,36.97272727272727,Sleep stage W,False,False,False,10,10,SC4031E0,0.0,99.75159687721788,7.8188552109947125,0.34712985284806064
11,123.51666666666667,18.310736073559568,91.0,175.0,3.4265,0.1400250572814262,2.93,3.744,36.88227272727273,0.02160008417492228,36.82654545454545,36.921454545454544,Sleep stage W,False,False,False,11,11,SC4031E0,0.0,99.72675656493968,9.29539309406121,0.3465878449855983
12,121.73333333333333,21.36965657707728,78.0,220.0,3.517733333333333,0.14003688403020423,3.18,3.88,36.917545454545454,0.018959330113353743,36.88109090909091,36.969454545454546,Sleep stage W,False,False,False,12,12,SC4031E0,0.0,99.70191625266146,10.824865172568844,0.34602640602661533
13,125.25,19.587091837908627,70.0,170.0,3.5565,0.18178031613277967,2.478,3.7840000000000003,36.92981818181818,0.024262749055609746,36.833090909090906,36.97381818181818,Sleep stage W,False,False,False,13,13,SC4031E0,0.0,99.67707594038325,9.975326235087094,0.34633825497330595
14,124.35,19.667930750335685,75.0,221.0,3.6892666666666667,0.09420259491589862,3.524,3.886,36.95136363636364,0.027080992693943116,36.87236363636364,37.007636363636365,Sleep stage W,False,False,False,14,14,SC4031E0,0.0,99.65223562810503,9.928167970083742,0.34635556583996574
15,119.03333333333333,14.452181688435678,85.0,147.0,3.6704000000000003,0.10422526884909768,3.44,3.892,37.08469090909091,0.12322508599380512,36.69563636363636,37.293454545454544,Sleep stage W,False,False,False,15,15,SC4031E0,0.0,99.62739531582683,7.330316113066937,0.34730918589141424
16,110.11666666666666,21.935581191803927,22.0,173.0,3.5397333333333334,0.10364777962996702,3.232,3.738,37.29990909090909,0.017805886295741407,37.267272727272726,37.35127272727273,Sleep stage W,False,False,False,16,16,SC4031E0,0.0,99.60255500354862,11.07143837553193,0.3459358938791038
17,102.28333333333333,17.51484291171982,35.0,136.0,3.481533333333333,0.10417636754828599,3.164,3.672,37.28852727272727,0.02458904546794685,37.17018181818182,37.35127272727273,Sleep stage W,False,False,False,17,17,SC4031E0,0.0,99.5777146912704,8.861597823408196,0.34674708265236553
18,105.8,13.090454537562858,72.0,131.0,3.4830666666666668,0.1578934098969583,2.852,3.698,37.197945454545454,0.035834011269133784,37.134181818181816,37.267272727272726,Sleep stage W,False,False,False,18,18,SC4031E0,0.0,99.55287437899219,6.7031206786783875,0.3475394169343409
19,108.01666666666667,17.129401299779534,64.0,147.0,3.4991,0.220475372774376,2.104,3.686,37.152527272727276,0.019064908701633475,37.06,37.18327272727272,Sleep stage W,False,False,False,19,19,SC4031E0,0.0,99.52803406671399,8.785176022664142,0.3467751355843911
20,121.0,20.579115627256673,51.0,211.0,3.5448000000000004,0.09515825415240298,3.2720000000000002,3.742,37.117163636363635,0.02627800513203527,37.00654545454545,37.169090909090905,Sleep stage W,False,False,False,20,20,SC4031E0,0.0,99.50319375443577,10.38471606778074,0.3461879760602642
21,114.98333333333333,12.047809851679359,89.0,153.0,3.4792,0.12900449604568062,2.896,3.726,37.03969090909091,0.03140106330778551,36.97272727272727,37.12654545454545,Sleep stage W,False,False,False,21,21,SC4031E0,0.0,99.47835344215756,6.15290942188536,0.3477413886078192
22,99.48333333333333,18.024512630181025,55.0,166.0,3.3934333333333333,0.19449321896205576,2.748,3.678,36.90801818181818,0.054893974439393506,36.81127272727272,37.025090909090906,Sleep stage W,False,False,False,22,22,SC4031E0,0.0,99.45351312987934,9.206749534052568,0.3466203842837987
23,91.68333333333334,20.780192224541352,16.0,142.0,3.484266666666667,0.10815018364395967,3.0700000000000003,3.732,36.911654545454546,0.026488725186068644,36.833090909090906,36.94981818181818,Sleep stage W,False,False,False,23,23,SC4031E0,0.0,99.42867281760114,10.498246295914635,0.3461463013582593
24,94.36666666666666,24.5675712180825,-4.0,140.0,3.3749333333333333,0.19946143041255424,2.698,3.606,36.88218181818182,0.03931462411649765,36.78509090909091,36.99018181818182,Sleep stage W,False,False,False,24,24,SC4031E0,0.0,99.40383250532292,12.483247039453804,0.34541764683314996
25,97.35,25.481251277491594,1.0,193.0,3.537066666666667,0.14460865196184577,2.852,3.74,36.88170909090909,0.028907627178489922,36.738181818181815,36.93236363636363,Sleep stage W,False,False,False,25,25,SC4031E0,0.0,99.37899219304471,12.885234290707643,0.34527008526138947
26,94.11666666666666,14.314435216087137,55.0,126.0,3.5297666666666667,0.08568554266748986,3.258,3.704,36.88645454545454,0.03253781017384408,36.82654545454545,36.98690909090909,Sleep stage W,False,False,False,26,26,SC4031E0,0.0,99.3541518807665,7.242903150711059,0.347341273461548
27,92.56666666666666,19.919309448093045,53.0,158.0,3.4967333333333332,0.09842016505213186,3.104,3.628,36.86107272727273,0.02457801880267455,36.80145454545455,36.909454545454544,Sleep stage W,False,False,False,27,27,SC4031E0,0.0,99.3293115684883,10.058074889098654,0.3463078795785417
28,87.78333333333333,18.90069810586077,38.0,162.0,3.4651333333333336,0.11259861850346527,3.032,3.664,36.86809090909091,0.02121744954723087,36.812363636363635,36.94436363636363,Sleep stage W,False,False,False,28,28,SC4031E0,0.0,99.30447125621008,9.56294767143385,0.3464896309903891
29,91.03333333333333,24.5675712180825,26.0,195.0,3.5363333333333333,0.07134345722551524,3.364,3.678,36.457418181818184,0.10823170125718903,36.33672727272727,36.883272727272725,Sleep stage W,False,False,False,29,29,SC4031E0,0.0,99.27963094393186,12.355129066266764,0.34546467640793194
30,100.85,18.493985508807988,62.0,142.0,3.530733333333333,0.11193150683441296,3.0060000000000002,3.688,36.631781818181814,0.04850620135867358,36.54181818181818,36.72509090909091,Sleep stage W,False,False,False,30,30,SC4031E0,0.0,99.25479063165365,9.358924261238407,0.3465645239502789
31,118.71666666666667,16.840518268615003,80.0,170.0,3.5229333333333335,0.07079215273523543,3.384,3.682,36.863727272727274,0.08030338135999882,36.699999999999996,37.028363636363636,Sleep stage W,False,False,False,31,31,SC4031E0,0.0,99.22995031937545,8.491051287042737,0.34688310295934277
32,109.66666666666667,15.970458839856654,51.0,140.0,3.4679333333333333,0.12235574726545914,2.848,3.63,37.078745454545455,0.04187039822993665,36.99454545454545,37.19418181818182,Sleep stage W,False,False,False,32,32,SC4031E0,0.0,99.20511000709723,8.107585167193786,0.3470238657899682
33,92.9,14.676171162806739,50.0,122.0,3.3881666666666663,0.1874080367065998,2.528,3.624,37.177181818181815,0.041064814723364096,37.089454545454544,37.24981818181818,Sleep stage W,False,False,False,33,33,SC4031E0,0.0,99.18026969481902,7.525493618109969,0.3472375400884028
34,91.9,15.981969006769267,54.0,132.0,3.4885666666666664,0.12643316635897217,2.922,3.778,37.170309090909086,0.036859756549557136,37.08290909090909,37.23781818181818,Sleep stage W,False,False,False,34,34,SC4031E0,0.0,99.1554293825408,8.117417669743606,0.3470202564726924
35,92.61666666666666,22.886015866074683,4.0,156.0,3.4959000000000002,0.08116930864967777,3.19,3.634,37.2686,0.03454876060736462,37.193090909090905,37.33381818181818,Sleep stage W,False,False,False,35,35,SC4031E0,0.0,99.1305890702626,11.524177241687019,0.34576970239298443
36,88.15,12.214506402907432,57.0,112.0,3.5558,0.08698865826454999,3.372,3.73,37.33369090909091,0.028384671686968364,37.275999999999996,37.384,Sleep stage W,False,False,False,36,36,SC4031E0,0.0,99.10574875798439,6.194241859718266,0.3477262162871242
37,80.21666666666667,16.235857093346066,11.0,115.0,3.518733333333333,0.06823583288045133,3.37,3.766,37.36536363636364,0.027425240229634697,37.28581818181818,37.432,Sleep stage W,False,False,False,37,37,SC4031E0,0.0,99.08090844570617,8.186164379553485,0.3469950209147953
38,79.08333333333333,17.88415655141599,0.0,114.0,3.4882666666666666,0.09421002541602938,3.3240000000000003,3.716,37.388909090909095,0.032126917732264136,37.30763636363636,37.43963636363636,Sleep stage W,False,False,False,38,38,SC4031E0,0.0,99.05606813342796,9.036288301124024,0.34668295723201215
39,73.7,18.64340812905909,26.0,120.0,3.443166666666667,0.13284692527701042,2.99,3.628,37.339054545454545,0.041239057151086236,37.275999999999996,37.43745454545454,Sleep stage W,False,False,False,39,39,SC4031E0,0.0,99.03122782114976,9.454550989806556,0.3465294212689729
40,83.71666666666667,24.298210953803892,-31.0,158.0,3.5491,0.0747390348702292,3.326,3.698,37.3620909090909,0.020875348267496027,37.314181818181815,37.40690909090909,Sleep stage W,False,False,False,40,40,SC4031E0,0.0,99.00638750887154,12.223844511772175,0.3455128683721016
41,84.41666666666667,13.873586014037215,54.0,130.0,3.5898666666666665,0.06470947036992009,3.43,3.754,37.43319999999999,0.03403140989591683,37.338181818181816,37.547636363636364,Sleep stage W,False,False,False,41,41,SC4031E0,0.0,98.98154719659333,7.001502477388528,0.34742988687570076
42,73.7,15.207783095069004,45.0,128.0,3.543766666666667,0.06888550081274161,3.368,3.676,37.47596363636364,0.014362899866045074,37.44072727272727,37.52581818181818,Sleep stage W,False,False,False,42,42,SC4031E0,0.0,98.95670688431511,7.6727770483472435,0.34718347525328097
43,73.66666666666667,16.92992091600614,6.0,108.0,3.5394,0.07736174765347546,3.302,3.656,37.48578181818182,0.020205195306046475,37.38072727272727,37.51927272727273,Sleep stage W,False,False,False,43,43,SC4031E0,0.0,98.93186657203691,8.542322205656545,0.3468642824188588
44,73.85,18.12624708353423,37.0,120.0,3.4893,0.09180982155158195,3.326,3.728,37.48412727272727,0.024680510596542544,37.37745454545455,37.52254545454545,Sleep stage W,False,False,False,44,44,SC4031E0,0.0,98.9070262597587,9.154933363318698,0.3466394049755551
45,81.06666666666666,18.939259635887446,35.0,119.0,3.4899,0.1442643060496947,2.74,3.682,37.47681818181818,0.0371695912325773,37.372,37.54327272727273,Sleep stage W,False,False,False,45,45,SC4031E0,0.0,98.88218594748048,9.613894123993418,0.34647092955497816
46,85.51666666666667,17.422678388302476,52.0,139.0,3.5155000000000003,0.09700489678361593,3.266,3.676,37.5324,0.018821440209778967,37.494181818181815,37.57490909090909,Sleep stage W,False,False,False,46,46,SC4031E0,0.0,98.85734563520226,8.808344090934854,0.3467666310446127
47,93.81666666666666,17.807762040438686,21.0,122.0,3.5882333333333336,0.0845151597183738,3.34,3.734,37.530854545454545,0.01940785390990587,37.49527272727273,37.57490909090909,Sleep stage W,False,False,False,47,47,SC4031E0,0.0,98.83250532292406,8.988396179937716,0.34670053748276675
48,87.5,18.308923143283625,47.0,151.0,3.4885,0.10015296633982766,3.24,3.674,37.56021818181818,0.03021999775749239,37.44945454545454,37.61090909090909,Sleep stage W,False,False,False,48,48,SC4031E0,0.0,98.80766501064585,9.25461453798164,0.3466028139872531
49,78.51666666666667,22.284143590354905,1.0,128.0,3.4201333333333332,0.25182027100471654,2.15,3.72,37.567890909090906,0.02487525239707996,37.49636363636363,37.612,Sleep stage W,False,False,False,49,49,SC4031E0,0.0,98.78282469836763,11.393892066182168,0.3458175275048869
50,83.58333333333333,18.60402435555872,49.0,123.0,3.3028666666666666,0.27577076631788877,2.158,3.594,37.582181818181816,0.019474755857322845,37.53781818181818,37.63818181818182,Sleep stage W,False,False,False,50,50,SC4031E0,0.0,98.75798438608942,9.57778294409725,0.34648418525512037
51,77.91666666666667,18.51422126066579,26.0,114.0,3.4363333333333332,0.21540169193599404,2.7,3.81,37.6094,0.020751269999968614,37.57381818181818,37.67527272727273,Sleep stage W,False,False,False,51,51,SC4031E0,0.0,98.73314407381122,9.472512322268889,0.34652282801896117
52,83.33333333333333,24.10855081132465,-13.0,132.0,3.5342,0.09220679656800435,3.2880000000000003,3.706,37.61321818181818,0.018974807134334564,37.571636363636365,37.65781818181818,Sleep stage W,False,False,False,52,52,SC4031E0,0.0,98.708303761533,12.14648220223033,0.3455412665463109
53,82.16666666666667,19.40031500316998,35.0,174.0,3.5219333333333336,0.10590937425721829,3.178,3.706,37.63961818181818,0.023574317164065457,37.59563636363636,37.69381818181818,Sleep stage W,False,False,False,53,53,SC4031E0,0.0,98.68346344925479,9.806066875842207,0.34640038673745377
54,69.46666666666667,17.404469413215548,28.0,114.0,3.4954666666666667,0.07337471559664736,3.234,3.698,37.64865454545454,0.016203091226344314,37.61090909090909,37.689454545454545,Sleep stage W,False,False,False,54,54,SC4031E0,0.0,98.65862313697657,8.775609422204422,0.346778647294267
55,57.95,15.457926769136925,7.0,98.0,3.4664,0.07659312414744972,3.29,3.646,37.65683636363636,0.020267337236986323,37.61745454545454,37.739636363636365,Sleep stage W,False,False,False,55,55,SC4031E0,0.0,98.63378282469837,7.805556508715912,0.3471347345387225
56,58.733333333333334,21.48167177438065,13.0,99.0,3.4866333333333333,0.0793931077333264,3.278,3.672,37.64218181818182,0.027141989671094026,37.54872727272727,37.696,Sleep stage W,False,False,False,56,56,SC4031E0,0.0,98.60894251242016,10.820228994923651,0.34602810787576144
57,62.583333333333336,12.506387257006807,21.0,88.0,3.516566666666667,0.06604654082959656,3.3000000000000003,3.666,37.69192727272727,0.030675610146353074,37.58254545454545,37.77890909090909,Sleep stage W,False,False,False,57,57,SC4031E0,0.0,98.58410220014194,6.319240169333,0.347680331879157
58,57.0,17.706872488763604,19.0,90.0,3.543066666666667,0.05930201420600227,3.2760000000000002,3.646,37.71676363636364,0.017918788329758618,37.68836363636363,37.772363636363636,Sleep stage W,False,False,False,58,58,SC4031E0,0.0,98.55926188786373,8.912738258587805,0.34672831000977034
59,62.38333333333333,19.63168499022831,20.0,140.0,3.4974,0.07581319146428289,3.29,3.662,37.69729090909091,0.019795808889424747,37.64581818181818,37.73418181818182,Sleep stage W,False,False,False,59,59,SC4031E0,0.0,98.53442157558553,9.891655686578439,0.3463689687773121
60,64.13333333333334,15.827683202400646,25.0,104.0,3.4946333333333333,0.07041353247462843,3.342,3.672,37.71663636363636,0.02747509766562284,37.58254545454545,37.78218181818182,Sleep stage W,False,False,False,60,60,SC4031E0,0.0,98.50958126330731,7.984255133674951,0.34706913780676607
61,68.15,15.142462371314203,34.0,102.0,3.4798666666666667,0.0673477212350615,3.314,3.606,37.72365454545454,0.020803520045439075,37.639272727272726,37.769090909090906,Sleep stage W,False,False,False,61,61,SC4031E0,0.0,98.4847409510291,7.638578906892163,0.34719602871483646
62,59.05,16.6787539502606,23.0,93.0,3.5125333333333333,0.06681703043053885,3.278,3.684,37.70167272727272,0.024518207098780637,37.639272727272726,37.76472727272727,Sleep stage W,False,False,False,62,62,SC4031E0,0.0,98.45990063875088,8.406194005560838,0.34691425238955914
63,68.68333333333334,19.26611158369939,20.0,162.0,3.5185666666666666,0.07371123086447233,3.322,3.694,37.72156363636363,0.021890214425703356,37.63490909090909,37.775636363636366,Sleep stage W,False,False,False,63,63,SC4031E0,0.0,98.43506032647268,9.706767022714168,0.3464368377501599
64,61.81666666666667,20.47558844629923,11.0,123.0,3.5353,0.11049755653407005,3.036,3.72,37.72792727272727,0.015896192173592935,37.677454545454545,37.77345454545454,Sleep stage W,False,False,False,64,64,SC4031E0,0.0,98.41022001419446,10.348291779683686,0.34620134669623615
65,49.11666666666667,19.139916114990914,-14.0,99.0,3.5244,0.08556697182129709,3.348,3.706,37.73978181818181,0.021447271494187896,37.67309090909091,37.80836363636364,Sleep stage W,False,False,False,65,65,SC4031E0,0.0,98.38537970191625,9.655525029316754,0.3464556476727688
